GAME_DATE,MATCHUP,MIN,PTS,REB,AST,FG_PCT,TOV,Player,Opponent,HomeAway,PTS_Roll3,REB_Roll3,AST_Roll3,TEAM_ID,TEAM_NAME,DefensiveRating,Pace,PointsAllowed,ReboundsAllowed,OpponentFGPctAllowed,Opponent3PtPctAllowed,DefensiveRatingScaled,PointsAllowedScaled,ReboundsAllowedScaled,OpponentFGPctAllowedScaled,Opponent3PtPctAllowedScaled,PaceScaled,DefensiveRatingHard,PointsAllowedHard,ReboundsAllowedHard,OpponentFGPctAllowedHard,Opponent3PtPctAllowedHard,PaceHard,MatchupDifficulty,SeasonAvgPTS,SeasonAvgREB,SeasonAvgAST,SeasonAvgTOV,SeasonAvgFG_PCT,PTS_vs_SeasonAvg,REB_vs_SeasonAvg,AST_vs_SeasonAvg,TOV_vs_SeasonAvg,FG_PCT_vs_SeasonAvg
2026-01-02,PHX vs. SAC,28,33,2,5,0.619,5,Devin Booker,SAC,Home,24.666666666666668,3.6666666666666665,4.333333333333333,1610612758.0,Sacramento Kings,120.3,100.12,121.0,43.9,0.494,0.379,0.9199999999999999,0.7340425531914896,0.5411764705882351,0.9500000000000002,0.9375,0.5248554913294807,0.08000000000000007,0.2659574468085104,0.45882352941176485,0.04999999999999982,0.0625,0.47514450867051927,0.20727946964051874,26.0625,3.875,6.03125,3.140625,0.4555,6.9375,-1.875,-1.03125,1.859375,0.16349999999999998
2026-01-04,PHX vs. OKC,38,24,6,9,0.455,1,Devin Booker,OKC,Home,29.0,3.3333333333333335,4.666666666666667,1610612760.0,Oklahoma City Thunder,106.5,100.37,107.9,45.2,0.437,0.369,0.0,0.03723404255319185,0.6941176470588246,0.0,0.625,0.553757225433527,1.0,0.9627659574468082,0.3058823529411754,1.0,0.375,0.446242774566473,0.7705598218871852,26.0625,3.875,6.03125,3.140625,0.4555,-2.0625,2.125,2.96875,-2.140625,-0.0005000000000000004
2026-01-05,PHX @ HOU,33,27,0,3,0.45,4,Devin Booker,HOU,Away,29.666666666666668,3.3333333333333335,6.0,1610612745.0,Houston Rockets,112.1,96.98,110.0,39.5,0.46,0.351,0.3733333333333331,0.1489361702127665,0.023529411764706687,0.38333333333333375,0.0625,0.16184971098265954,0.6266666666666669,0.8510638297872335,0.9764705882352933,0.6166666666666663,0.9375,0.8381502890173405,0.7747483830944748,26.0625,3.875,6.03125,3.140625,0.4555,0.9375,-3.875,-3.03125,0.859375,-0.005500000000000005
2026-01-07,PHX @ MEM,31,13,1,8,0.4,2,Devin Booker,MEM,Away,28.0,2.6666666666666665,5.666666666666667,1610612763.0,Memphis Grizzlies,118.4,101.69,120.7,46.8,0.485,0.364,0.7933333333333339,0.7180851063829792,0.882352941176471,0.7999999999999998,0.46875,0.7063583815028895,0.2066666666666661,0.2819148936170208,0.117647058823529,0.20000000000000018,0.53125,0.29364161849711046,0.24851919939664444,26.0625,3.875,6.03125,3.140625,0.4555,-13.0625,-2.875,1.96875,-1.140625,-0.055499999999999994
2026-01-09,PHX vs. NYK,39,31,3,8,0.435,2,Devin Booker,NYK,Home,21.333333333333332,2.3333333333333335,6.666666666666667,1610612752.0,New York Knicks,112.3,97.71,110.1,40.5,0.46,0.362,0.3866666666666667,0.15425531914893575,0.14117647058823568,0.38333333333333375,0.40625,0.2462427745664737,0.6133333333333333,0.8457446808510642,0.8588235294117643,0.6166666666666663,0.59375,0.7537572254335263,0.70922318812533,26.0625,3.875,6.03125,3.140625,0.4555,4.9375,-0.875,1.96875,-1.140625,-0.020500000000000018
2026-01-11,PHX vs. WAS,26,17,3,8,0.357,1,Devin Booker,WAS,Home,23.666666666666668,1.3333333333333333,6.333333333333333,1610612764.0,Washington Wizards,121.5,102.49,124.9,47.8,0.488,0.368,1.0,0.9414893617021285,1.0,0.8499999999999988,0.59375,0.7988439306358366,0.0,0.05851063829787151,0.0,0.15000000000000124,0.40625,0.20115606936416341,0.09494273459599084,26.0625,3.875,6.03125,3.140625,0.4555,-9.0625,-0.875,1.96875,-2.140625,-0.09850000000000003
2026-01-13,PHX @ MIA,40,24,9,9,0.316,4,Devin Booker,MIA,Away,20.333333333333332,2.3333333333333335,8.0,1610612748.0,Miami Heat,113.6,104.23,118.5,46.4,0.465,0.359,0.4733333333333336,0.6010638297872344,0.8352941176470594,0.4666666666666668,0.3125,1.0,0.5266666666666664,0.3989361702127656,0.1647058823529406,0.5333333333333332,0.6875,0.0,0.41124311639549405,26.0625,3.875,6.03125,3.140625,0.4555,-2.0625,5.125,2.96875,0.859375,-0.1395
2026-01-17,PHX @ NYK,38,27,4,4,0.389,4,Devin Booker,NYK,Away,24.0,5.0,8.333333333333334,1610612752.0,New York Knicks,112.3,97.71,110.1,40.5,0.46,0.362,0.3866666666666667,0.15425531914893575,0.14117647058823568,0.38333333333333375,0.40625,0.2462427745664737,0.6133333333333333,0.8457446808510642,0.8588235294117643,0.6166666666666663,0.59375,0.7537572254335263,0.70922318812533,26.0625,3.875,6.03125,3.140625,0.4555,0.9375,0.125,-2.03125,0.859375,-0.0665
2026-01-19,PHX @ BKN,33,24,4,4,0.556,3,Devin Booker,BKN,Away,22.666666666666668,5.333333333333333,7.0,1610612751.0,Brooklyn Nets,118.2,97.6,115.9,43.6,0.497,0.381,0.7800000000000002,0.46276595744680904,0.5058823529411773,0.9999999999999991,1.0,0.2335260115606932,0.21999999999999975,0.537234042553191,0.49411764705882266,8.881784197001252e-16,0.0,0.7664739884393068,0.32421185441339234,26.0625,3.875,6.03125,3.140625,0.4555,-2.0625,0.125,-2.03125,-0.140625,0.10050000000000003
2026-01-20,PHX @ PHI,34,27,3,4,0.391,6,Devin Booker,PHI,Away,25.0,5.666666666666667,5.666666666666667,1610612755.0,Philadelphia 76ers,114.4,100.4,116.1,45.3,0.467,0.353,0.5266666666666673,0.4734042553191484,0.7058823529411766,0.5,0.125,0.5572254335260123,0.4733333333333327,0.5265957446808516,0.2941176470588234,0.5,0.875,0.4427745664739877,0.49821425264239244,26.0625,3.875,6.03125,3.140625,0.4555,0.9375,-0.875,-2.03125,2.859375,-0.0645
2026-01-23,PHX @ ATL,28,31,4,3,0.571,2,Devin Booker,ATL,Away,26.0,3.6666666666666665,4.0,1610612737.0,Atlanta Hawks,112.9,102.5,116.0,45.2,0.474,0.355,0.42666666666666764,0.4680851063829792,0.6941176470588246,0.6166666666666663,0.1875,0.7999999999999989,0.5733333333333324,0.5319148936170208,0.3058823529411754,0.38333333333333375,0.8125,0.20000000000000107,0.4830153316645804,26.0625,3.875,6.03125,3.140625,0.4555,4.9375,0.125,-3.03125,-1.140625,0.11549999999999994
2026-02-07,PHX vs. PHI,32,21,2,9,0.417,4,Devin Booker,PHI,Home,27.333333333333332,3.6666666666666665,3.6666666666666665,1610612755.0,Philadelphia 76ers,114.4,100.4,116.1,45.3,0.467,0.353,0.5266666666666673,0.4734042553191484,0.7058823529411766,0.5,0.125,0.5572254335260123,0.4733333333333327,0.5265957446808516,0.2941176470588234,0.5,0.875,0.4427745664739877,0.49821425264239244,26.0625,3.875,6.03125,3.140625,0.4555,-5.0625,-1.875,2.96875,0.859375,-0.038500000000000034
2026-02-10,PHX vs. DAL,32,19,4,6,0.438,3,Devin Booker,DAL,Home,26.333333333333332,3.0,5.333333333333333,1610612742.0,Dallas Mavericks,115.5,102.63,119.6,46.8,0.478,0.35,0.6000000000000005,0.6595744680851059,0.882352941176471,0.6833333333333327,0.03125,0.8150289017341024,0.39999999999999947,0.3404255319148941,0.117647058823529,0.3166666666666673,0.96875,0.18497109826589764,0.36860427503309784,26.0625,3.875,6.03125,3.140625,0.4555,-7.0625,0.125,-0.03125,-0.140625,-0.017500000000000016
2026-02-19,PHX @ SAS,9,5,1,0,0.333,1,Devin Booker,SAS,Away,23.666666666666668,3.3333333333333335,6.0,1610612759.0,San Antonio Spurs,110.4,100.72,111.5,42.6,0.451,0.352,0.2600000000000007,0.22872340425531945,0.38823529411764746,0.2333333333333334,0.09375,0.5942196531791897,0.7399999999999993,0.7712765957446805,0.6117647058823525,0.7666666666666666,0.90625,0.4057803468208103,0.7142230597133696,26.0625,3.875,6.03125,3.140625,0.4555,-21.0625,-2.875,-6.03125,-2.140625,-0.1225
2026-03-03,PHX @ SAC,31,17,4,6,0.316,3,Devin Booker,SAC,Away,15.0,2.3333333333333335,5.0,1610612758.0,Sacramento Kings,120.3,100.12,121.0,43.9,0.494,0.379,0.9199999999999999,0.7340425531914896,0.5411764705882351,0.9500000000000002,0.9375,0.5248554913294807,0.08000000000000007,0.2659574468085104,0.45882352941176485,0.04999999999999982,0.0625,0.47514450867051927,0.20727946964051874,26.0625,3.875,6.03125,3.140625,0.4555,-9.0625,0.125,-0.03125,-0.140625,-0.1395
2026-03-05,PHX vs. CHI,32,27,6,2,0.429,4,Devin Booker,CHI,Home,13.666666666666666,3.0,4.0,1610612741.0,Chicago Bulls,117.4,103.22,121.5,45.7,0.478,0.368,0.7266666666666675,0.7606382978723403,0.7529411764705891,0.6833333333333327,0.59375,0.8832369942196525,0.27333333333333254,0.23936170212765973,0.2470588235294109,0.3166666666666673,0.40625,0.11676300578034748,0.2667324645329782,26.0625,3.875,6.03125,3.140625,0.4555,0.9375,2.125,-4.03125,0.859375,-0.026500000000000024
